Estabelecimentos encontrados: 262
Tempo DOM: 0.1611s
Tempo SAX: 0.0571s


Estabelecimentos encontrados:

Lat: -12.9835854, Lgt: -38.4538978, Tipo: clothes, Nome: A Burguesa - Roupas cristãs
Lat: -12.9782319, Lgt: -38.4548697, Tipo: shoes, Nome: Melissa
Lat: -12.9782784, Lgt: -38.4550340, Tipo: shoes, Nome: Luz da Lua
Lat: -12.9786062, Lgt: -38.4550985, Tipo: clinic, Nome: Amo Vacinas
Lat: -12.9782886, Lgt: -38.4547546, Tipo: clinic, Nome: Clivale
Lat: -12.9784452, Lgt: -38.4557279, Tipo: clothes, Nome: Colcci
Lat: -12.9789086, Lgt: -38.4543384, Tipo: shoes, Nome: Constance
Lat: -12.9791548, Lgt: -38.4543846, Tipo: clothes, Nome: Damyller
Lat: -12.9788813, Lgt: -38.4540426, Tipo: travel_agency, Nome: CVC
Lat: -12.9837976, Lgt: -38.4603750, Tipo: clothes, Nome: Track&Field
Lat: -12.9808402, Lgt: -38.4587381, Tipo: pharmacy, Nome: Pague Menos
Lat: -12.9779761, Lgt: -38.4559657, Tipo: sports, Nome: Loja do Bahia
Lat: -12.9773188, Lgt: -38.4559674, Tipo: cosmetics, Nome: Amávia
Lat: -12.9792170, Lgt: -38.4523500, Tipo: travel_agency, Nome: PASSO DE ESTRADA LTDA
Lat: -12.9791314, Lgt: -38.4535872, Tipo: ice_cream, Nome: Gelato Borelli
Lat: -12.9837155, Lgt: -38.4563968, Tipo: kindergarten, Nome: Escola Casa da Infância
Lat: -12.9793111, Lgt: -38.4550968, Tipo: bicycle_rental, Nome: Salvador Shopping
Lat: -12.9786870, Lgt: -38.4548943, Tipo: restaurant, Nome: Lotti
Lat: -12.9792485, Lgt: -38.4535514, Tipo: optician, Nome: Zerezes
Lat: -12.9821915, Lgt: -38.4526837, Tipo: bar, Nome: Toca do Cobra
Lat: -12.9788078, Lgt: -38.4543206, Tipo: pastry, Nome: Casa de Bolos
Lat: -12.9789676, Lgt: -38.4545076, Tipo: optician, Nome: Ótica Chilli Beans
Lat: -12.9792149, Lgt: -38.4543593, Tipo: sports, Nome: Hoka
Lat: -12.9792156, Lgt: -38.4541883, Tipo: clothes, Nome: Puma
Lat: -12.9787425, Lgt: -38.4549188, Tipo: cafe, Nome: Empório Coisas de Minas
Lat: -12.9785975, Lgt: -38.4548725, Tipo: restaurant, Nome: Miss Kōh
Lat: -12.9818853, Lgt: -38.4540577, Tipo: massage, Nome: Hilda Barbosa Massoterapia
Lat: -12.9784401, Lgt: -38.4586146, Tipo: hairdresser, Nome: Barberstyle
Lat: -12.9792277, Lgt: -38.4523131, Tipo: dentist, Nome: Consultorio Dr Giovanni Nascimento
Lat: -12.9821930, Lgt: -38.4583654, Tipo: cafe, Nome: Healthy por Victoria Cintra
Lat: -12.9784487, Lgt: -38.4612287, Tipo: bicycle_rental, Nome: Metrô Rodoviária
Lat: -12.9791333, Lgt: -38.4517399, Tipo: bicycle_rental, Nome: Hospital Sarah
Lat: -12.9771341, Lgt: -38.4593330, Tipo: hardware, Nome: Bikatto
Lat: -12.9775522, Lgt: -38.4591277, Tipo: car_parts, Nome: O Varejão
Lat: -12.9788260, Lgt: -38.4615943, Tipo: bank, Nome: Banco Safra
